### n=7 r=1 jstart=3
META|n=7|r=1|q=2|jstart=3|window=16
N|0|128
N|1|64
N|3|22
N|4|8
N|5|8
N|6|1
N|7|1
A|4|-48
A|5|128
A|6|-192
A|7|64
#done n=7 r=1 js=3 1787419242
### n=7 r=2 jstart=3
META|n=7|r=2|q=4|jstart=3|window=256
N|0|16384
N|1|4096
N|3|316
N|4|64
N|5|22
N|6|1
N|7|1
A|4|-3840
A|5|6144
A|6|-18432
A|7|12288
#done n=7 r=2 js=3 1787419242
### n=7 r=3 jstart=3
META|n=7|r=3|q=8|jstart=3|window=4096
N|0|2097152
N|1|262144
N|3|4600
N|4|680
N|5|92
N|6|43
N|7|1
A|4|430080
A|5|229376
A|6|8257536
A|7|-9175040
#done n=7 r=3 js=3 1787419242
### n=7 r=4 jstart=3
META|n=7|r=4|q=16|jstart=3|window=65536
N|0|268435456
N|1|16777216
N|3|69616
N|4|4096
N|5|526
N|6|1
N|7|1
A|4|-16711680
A|5|283115520
A|6|-534773760
A|7|251658240
#done n=7 r=4 js=3 1787419242
### n=7 r=5 jstart=3
META|n=7|r=5|q=32|jstart=3|window=1048576
N|0|34359738368
N|1|1073741824
N|3|1081312
N|4|32768
N|5|2388
N|6|1
N|7|1
A|4|-1072693248
A|5|45768245248
A|6|-79054241792
A|7|33285996544
#done n=7 r=5 js=3 1787419242
### n=7 r=6 jstart=3
META|n=7|r=6|q=64|jstart=3|window=16777216
N|0|4398046511104
N|1|68719476736
N|3|17039296
N|4|274240
N|5|8758
N|6|379
N|7|1
A|4|134234505216
A|5|4802847178752
A|6|16640850788352
A|7|-21646635171840
#done n=7 r=6 js=3 1787419244
### n=7 r=7 jstart=3
META|n=7|r=7|q=128|jstart=3|window=268435456
N|0|562949953421312
N|1|4398046511104
N|3|270532480
N|4|2097152
N|5|31116
N|6|1
N|7|1
A|4|-4397778075648
A|5|506187665637376
A|6|-1064739572547584
A|7|558551906910208
#done n=7 r=7 js=3 1787419265
### n=7 r=8 jstart=3
META|n=7|r=8|q=256|jstart=3|window=4294967296
N|0|72057594037927936
N|1|281474976710656
N|3|16735212628
N|4|109613792
N|5|156010
N|6|1
N|7|1
A|4|190017374764662784
A|5|-299252842781212672
A|6|-171253334072623104
A|7|71776119061217280
#done n=7 r=8 js=3 1787419543
### n=9 r=1 jstart=4
META|n=9|r=1|q=2|jstart=4|window=32
N|0|512
N|1|256
N|4|37
N|5|10
N|6|10
N|7|10
N|8|1
N|9|1
A|5|-272
A|6|320
A|7|640
A|8|-1024
A|9|256
#done n=9 r=1 js=4 1787419543
### n=9 r=2 jstart=4
META|n=9|r=2|q=4|jstart=4|window=1024
N|0|262144
N|1|65536
N|4|1153
N|5|316
N|6|100
N|7|46
N|8|19
N|9|1
A|5|28416
A|6|86016
A|7|344064
A|8|491520
A|9|-983040
#done n=9 r=2 js=4 1787419543
### n=9 r=3 jstart=4
META|n=9|r=3|q=8|jstart=4|window=32768
N|0|134217728
N|1|16777216
N|4|30997
N|5|3592
N|6|568
N|7|190
N|8|1
N|9|1
A|5|-9261056
A|6|31195136
A|7|249561088
A|8|-381681664
A|9|117440512
#done n=9 r=3 js=4 1787419543
### n=9 r=4 jstart=4
META|n=9|r=4|q=16|jstart=4|window=1048576
N|0|68719476736
N|1|4294967296
N|4|1044721
N|5|69616
N|6|4816
N|7|766
N|8|91
N|9|1
A|5|4530831360
A|6|7801405440
A|7|124822487040
A|8|185220464640
A|9|-322122547200
#done n=9 r=4 js=4 1787419543
### n=9 r=5 jstart=4
META|n=9|r=5|q=32|jstart=4|window=33554432
N|0|35184372088832
N|1|1099511627776
N|4|33525757
N|5|1015840
N|6|33760
N|7|3070
N|8|1
N|9|1
A|5|-1068369969152
A|6|2163589775360
A|7|69234872811520
A|8|-104384885161984
A|9|34084860461056
#done n=9 r=5 js=4 1787419544
### n=9 r=6 jstart=4
META|n=9|r=6|q=64|jstart=4|window=1073741824
N|0|18014398509481984
N|1|281474976710656
N|4|1073464057
N|5|17039296
N|6|274240
N|7|12286
N|8|379
N|9|1
A|5|286066414190592
A|6|549824533364736
A|7|35188770135343104
A|8|52644616737914880
A|9|-88664617663856640
#done n=9 r=6 js=4 1787419608
### n=9 r=7 jstart=4
