# Forcing detail. small(t) = #{psi != 1 : |A_psi| <= t * 2^(ell-1)}.
# best_forced = max over observed cuts tau of sqrt((NTM - Z_tau tau^2)/(|K|-1-Z_tau)).
# smallest_m_is_coset: do the m psi with the smallest |A_psi| form a coset of a
# subspace of K^dual (which is what an annihilator of a sub-cylinder would be)?
# m=2 is a coset for trivial reasons; the chance rate at m=4, |K|=128 is 0.8%.
# Z_needed = the exact-zero count that would refute (CYL); - means impossible
# (no vanishing pattern whatever can force max |A_psi| >= 2^(ell-1)).
ell=18 n=37 |K|-1=127 small(0.0)=0 small(0.001)=0 small(0.01)=4 small(0.05)=17 small(0.1)=34 small(0.25)=81 small(0.5)=120 | min|A|=630 min/rms=0.0179 rms/thr=0.2689 v2(A_1)=1 v2min=1 v2max=1 | best_forced/thr=0.3343 at tau/thr=0.195053 Z_tau=68 | ceiling/thr=3.0299 Z_needed=118 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=18 n=38 |K|-1=127 small(0.0)=0 small(0.001)=0 small(0.01)=5 small(0.05)=18 small(0.1)=29 small(0.25)=63 small(0.5)=109 | min|A|=476 min/rms=0.0106 rms/thr=0.3415 v2(A_1)=2 v2min=1 v2max=2 | best_forced/thr=0.4276 at tau/thr=0.194382 Z_tau=58 | ceiling/thr=3.8484 Z_needed=113 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=19 n=39 |K|-1=127 small(0.0)=0 small(0.001)=0 small(0.01)=6 small(0.05)=25 small(0.1)=50 small(0.25)=93 small(0.5)=125 | min|A|=584 min/rms=0.0106 rms/thr=0.2099 v2(A_1)=4 v2min=2 v2max=12 | best_forced/thr=0.2620 at tau/thr=0.135239 Z_tau=62 | ceiling/thr=2.3654 Z_needed=122 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=19 n=40 |K|-1=127 small(0.0)=0 small(0.001)=1 small(0.01)=8 small(0.05)=21 small(0.1)=34 small(0.25)=81 small(0.5)=117 | min|A|=96 min/rms=0.0013 rms/thr=0.2888 v2(A_1)=3 v2min=3 v2max=12 | best_forced/thr=0.3778 at tau/thr=0.202271 Z_tau=74 | ceiling/thr=3.2545 Z_needed=117 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=20 n=41 |K|-1=127 small(0.0)=0 small(0.001)=0 small(0.01)=6 small(0.05)=36 small(0.1)=75 small(0.25)=115 small(0.5)=127 | min|A|=944 min/rms=0.0130 rms/thr=0.1387 v2(A_1)=1 v2min=1 v2max=6 | best_forced/thr=0.1827 at tau/thr=0.103149 Z_tau=79 | ceiling/thr=1.5627 Z_needed=125 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=20 n=42 |K|-1=127 small(0.0)=0 small(0.001)=2 small(0.01)=6 small(0.05)=29 small(0.1)=52 small(0.25)=97 small(0.5)=126 | min|A|=272 min/rms=0.0025 rms/thr=0.2046 v2(A_1)=2 v2min=1 v2max=7 | best_forced/thr=0.2590 at tau/thr=0.141354 Z_tau=68 | ceiling/thr=2.3060 Z_needed=122 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=21 n=43 |K|-1=127 small(0.0)=0 small(0.001)=1 small(0.01)=15 small(0.05)=60 small(0.1)=99 small(0.25)=126 small(0.5)=127 | min|A|=300 min/rms=0.0032 rms/thr=0.0897 v2(A_1)=1 v2min=1 v2max=7 | best_forced/thr=0.1171 at tau/thr=0.054499 Z_tau=67 | ceiling/thr=1.0105 Z_needed=126 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:1,8:0,16:0
ell=21 n=44 |K|-1=127 small(0.0)=0 small(0.001)=0 small(0.01)=1 small(0.05)=34 small(0.1)=65 small(0.25)=115 small(0.5)=127 | min|A|=3332 min/rms=0.0219 rms/thr=0.1449 v2(A_1)=7 v2min=2 v2max=7 | best_forced/thr=0.1851 at tau/thr=0.104202 Z_tau=72 | ceiling/thr=1.6329 Z_needed=125 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=22 n=45 |K|-1=127 small(0.0)=0 small(0.001)=4 small(0.01)=20 small(0.05)=66 small(0.1)=104 small(0.25)=127 small(0.5)=127 | min|A|=46 min/rms=0.0003 rms/thr=0.0710 v2(A_1)=1 v2min=1 v2max=8 | best_forced/thr=0.0909 at tau/thr=0.043151 Z_tau=64 | ceiling/thr=0.7997 Z_needed=- | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=22 n=46 |K|-1=127 small(0.0)=0 small(0.001)=0 small(0.01)=6 small(0.05)=39 small(0.1)=87 small(0.25)=126 small(0.5)=127 | min|A|=3196 min/rms=0.0150 rms/thr=0.1014 v2(A_1)=2 v2min=1 v2max=11 | best_forced/thr=0.1264 at tau/thr=0.074172 Z_tau=69 | ceiling/thr=1.1431 Z_needed=126 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=23 n=47 |K|-1=127 small(0.0)=0 small(0.001)=1 small(0.01)=21 small(0.05)=84 small(0.1)=124 small(0.25)=127 small(0.5)=127 | min|A|=2349 min/rms=0.0113 rms/thr=0.0498 v2(A_1)=0 v2min=0 v2max=0 | best_forced/thr=0.0644 at tau/thr=0.032766 Z_tau=69 | ceiling/thr=0.5610 Z_needed=- | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=23 n=48 |K|-1=127 small(0.0)=0 small(0.001)=1 small(0.01)=18 small(0.05)=68 small(0.1)=102 small(0.25)=127 small(0.5)=127 | min|A|=3784 min/rms=0.0119 rms/thr=0.0759 v2(A_1)=3 v2min=3 v2max=3 | best_forced/thr=0.0986 at tau/thr=0.051409 Z_tau=71 | ceiling/thr=0.8559 Z_needed=- | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=24 n=49 |K|-1=127 small(0.0)=0 small(0.001)=3 small(0.01)=29 small(0.05)=104 small(0.1)=127 small(0.25)=127 small(0.5)=127 | min|A|=2892 min/rms=0.0098 rms/thr=0.0353 v2(A_1)=2 v2min=1 v2max=7 | best_forced/thr=0.0432 at tau/thr=0.017109 Z_tau=50 | ceiling/thr=0.3976 Z_needed=- | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=24 n=50 |K|-1=127 small(0.0)=0 small(0.001)=1 small(0.01)=12 small(0.05)=80 small(0.1)=118 small(0.25)=127 small(0.5)=127 | min|A|=6924 min/rms=0.0152 rms/thr=0.0542 v2(A_1)=1 v2min=1 v2max=7 | best_forced/thr=0.0697 at tau/thr=0.038352 Z_tau=72 | ceiling/thr=0.6108 Z_needed=- | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
