== engine witt (exact, j = 2, E_2 = W_2(F_q), Walsh--Hadamard) ==
   |A_r(n,2)| = C q^{n/2 + gamma};  gamma -> 3/2 means top weight n + 2j - 1
  n  r=1  r=2  r=3  r=4   gamma(r=4,5,6,7,8,9,10,11,12,13,14)
  1  2  12  56  240   1.4767 1.4908 1.4962 1.4984 1.4993 1.4997 1.4999 1.4999 1.5000 1.5000 1.5000
  2  0  0  0  0   0 0 0 0 0 0 0 0 0 0 0
  3  -4  48  -448  3840   1.4767 1.4908 1.4962 1.4984 1.4993 1.4997 1.4999 1.4999 1.5000 1.5000 1.5000
  4  8  -192  3584  -61440   1.9767 1.9908 1.9962 1.9984 1.9993 1.9997 1.9999 1.9999 2.0000 2.0000 2.0000
  5  -8  192  -3584  61440   1.4767 1.4908 1.4962 1.4984 1.4993 1.4997 1.4999 1.4999 1.5000 1.5000 1.5000
  6  0  0  0  0   0 0 0 0 0 0 0 0 0 0 0
  7  16  768  28672  983040   1.4767 1.4908 1.4962 1.4984 1.4993 1.4997 1.4999 1.4999 1.5000 1.5000 1.5000
  8  -32  -3072  -229376  -15728640   1.9767 1.9908 1.9962 1.9984 1.9993 1.9997 1.9999 1.9999 2.0000 2.0000 2.0000
  9  32  3072  229376  15728640   1.4767 1.4908 1.4962 1.4984 1.4993 1.4997 1.4999 1.4999 1.5000 1.5000 1.5000
 10  0  0  0  0   0 0 0 0 0 0 0 0 0 0 0
 11  -64  12288  -1835008  251658240   1.4767 1.4908 1.4962 1.4984 1.4993 1.4997 1.4999 1.4999 1.5000 1.5000 1.5000
 12  128  -49152  14680064  -4026531840   1.9767 1.9908 1.9962 1.9984 1.9993 1.9997 1.9999 1.9999 2.0000 2.0000 2.0000

== engine flint (independent window enumeration) ==
   C1 (A_r(n,1) = 0 identically) and C3 (flint == witt at j = 2) hold

== measured top weight w (|A_r| ~ C q^{(n+w)/2}), Lemire range j <= ceil(n/2)-1 ==
   w_loc(r) = 2(log2|A_{r+1}| - log2|A_r|) - n;  RESOLVED means the
   Berlekamp--Massey recurrence closes on the data with integral weights.
   sav(q=2) = 2^{j-1}(j-1)2^{n/2}/|A_1| is the saving over the trivial
   bound actually achieved at q = 2; (HWO) needs 4*ell = 4*(ceil(n/2)-1).
   shape names w against the four candidates j, j+1, 2j-1, 2j;
   only j and j+1 leave room for a Betti bound at large j (Prop. 1).
  n   j   R  rng   w_meas  i_max>=    C   shape  sav(q=2)  4ell  w_loc tail
  2   2  14   no   A == 0 identically (H^*_c vanishes; nothing to bound)
  3   2  14   no        3        3    2    2j-1      1.41     4    3.00   3.00   3.00
  4   2  14   no        4        4    2      2j      1.00     4    4.00   4.00   4.00
  5   2  14  yes        3        3    2    2j-1      1.41     8    3.00   3.00   3.00
  5   3   7   no        5        5    2    2j-1      2.83     8    5.09   5.05   5.02
  5   4   7   no   unres.        -    -       -     16.97     8   -6.81  17.07 -11.00
  5   5   7   no   unres.        -    -       -     22.63     8    1.92   5.05   5.02
  6   2  14  yes   A == 0 identically (H^*_c vanishes; nothing to bound)
  6   3   5   no        4        4    2    2j-2      4.00     8    4.44   4.20   4.09
  6   4   5   no   unres.        -    -       -      6.00     8    8.44   5.81   6.48
  6   5   5   no   unres.        -    -       -      6.40     8    7.01   5.93   6.23
  6   6   5   no        6        6    2       j     40.00     8    6.44   6.20   6.09
  7   2  14  yes        3        3    2    2j-1      1.41    12    3.00   3.00   3.00
  7   3   6  yes        5        5    2    2j-1      2.83    12    5.20   5.09   5.05
  7   4   8   no   unres.        -    -       -      5.66    12    6.93   3.07   5.00
  7   5   8   no   unres.        -    -       -      5.66    12    6.43   6.44   6.94
  7   6   8   no   unres.        -    -       -      9.43    12    8.44   5.00   6.98
  7   7   8   no   unres.        -    -       -     67.88    12   11.69   2.38   7.01
  8   2  14  yes        4        4    2      2j      1.00    12    4.00   4.00   4.00
  8   3   5  yes   unres.        -    -       -      4.00    12    6.89   6.40   6.19
  8   4   5   no   unres.        -    -       -      4.00    12   10.78   7.77   5.85
  8   5   5   no   unres.        -    -       -     10.67    12    8.30   8.86   7.75
  8   6   5   no        6        6    2       j     40.00    12    6.44   6.20   6.09
  8   7   5   no        8        8    2     j+1     48.00    12    8.44   8.20   8.09
  8   8   5   no   A == 0 identically (H^*_c vanishes; nothing to bound)
  9   2  14  yes        3        3    2    2j-1      1.41    16    3.00   3.00   3.00
  9   3   4  yes        3        3    2       j      5.66    16    4.17   3.44   3.20
  9   4   5  yes   unres.        -    -       -      6.79    16    6.56   1.24   4.79
  9   5   5   no   unres.        -    -       -      5.32    16    7.70   8.87   6.76
  9   6   5   no   unres.        -    -       -     11.31    16    8.01   6.93   7.23
  9   7   5   no   unres.        -    -       -     13.58    16   10.01   8.93   9.23
  9   8   5   no   unres.        -    -       -     19.80    16   10.20   8.85   9.28
  9   9   5   no   unres.        -    -       -    181.02    16    4.80  13.84   4.45
 10   2  14  yes   A == 0 identically (H^*_c vanishes; nothing to bound)
