# in-window irreducibles of odd degree over F_{3^11}
# f = T^n + g monic irreducible, deg g <= floor(n/2).
# carrier F3 means g has F_3 coefficients; since 11 is prime and
# 11 does not divide n, such an f stays irreducible over F_{3^11}.
# g is stored as the base-3 digit string of its coefficient vector
# (low degree first; 11 trits per F_{3^11} coefficient), packed
# into one integer and printed in hex.
# n|carrier|tail_base3_hex|tries|seconds
869|F3^11|0x2c2897387851151f505034ddbde77df6a3225e061899ecaae6b7a4de0d7211bc6e8051eb7a24c654cfe2099876e443cb20d4a450e0d0ca9d3f32bcccb3b4361134e8106c53015c907dd056357d7ed0c2c3d5797e2aaec8ee92df914d7906b964e884bc3a718214aa4783d4dfce24a824f2e3ff873ba088c8328f714fbe7359fd14a0a84e64bffcfc7bbdd46b5d863fbab8f54a47af9b83a5cbef7919680e9143d2027421bbad2a1573a6d23d475f0f3b4084254b701580bc0f68372fa8cf8959a0a6076a90cb5ab9ab578b7d60d515c743cf8b8b5311a7b1820c8d2525212e37677bb00f99a8b0aaac7c744cd991d12db86a5fb1a1460d34eaf8a76067eb81fa514cc8c70721fee0228ff97f619a0dd6638ec43a4b45ad74f35af3bb0152d8d02218f99ed3a333d2a7625ccaf186e1fd992280331cf420080fba5b78f48c159529cc95c6e182f47ea7e6c3415a04da0c0961abefaeaf4f92f7c23b34c667e31012897e8e730cf33479a317ec10b1411680492f3e6473a0c41af58528c31746ce8e1dd8f3bad7a6e9a434e75dcb8a1f55665e538794b5f1166f487e81ee2608ae721ebfd6ad7d16ce646af36e97a531a7addb19735f257bbfcbc161e6f22e4c577ce75f657817e76502f5ee9c6d95fd07601dc375f5f42fdde9b7d1bc14dfda48d51cc7400341b903768c3dfc817174cbf7ee47516a9f959244b8e9ba6b4817193d0cd0f44db852a864841f3b4ae935986a02f25fdcc84626781f91d6cdb44b0ad14823fb25cf47c7c6a4bc0c67c486e9be85ea10fb65aba7b93dd9830468bc912987119fbaf77b0ba3f5902adabf370e440b30bdd72997b19642dd018dcc20ecbb6b68911759c307524760a035cb5583531d33dc64934986120f70916c515e004f8a11c0c3c5c3ed4ffb43c825b7e37048ba4c69e474121893818addb5f54318888f507d5e666586fd7fe3d0b02496ebf4b865934f71eb5bc1028a502b1af9b5b3829287234250b8a841405d95836eb1175323ce0a8450a542cdb92fbbda3c58723488dd107a38cf97bcee2e03f1fd642865abfbd2f86a490915e96b2fc49a08ea49cc1915ba22014a9c26d80467d7ab0794905f4a70e75665b6f6243eb75cfc6ed43ca0d1642d1d946e1407d42b74776693a5686fd2164e47b8155979623b49318ed7b94820fbff7aa3cf29114d35825cf30b3ffb5a61000452dca533d7e760543ca77fe7ae239faa0aba56d581183c03fa085fe61823f60eb16f03e24bc13ba1bb4b21118c1c8e413d2af92ded4d1a46ef82ab15179ef8172768e1320d8caf48b3f2427ff4ee97e4ced9ed07b412e48b106fe1|23|42.5
871|F3|0xc1f620feec9184834619f3ded3ebf6a5a7c09916dbb96a6ca1bd745421348c9bbccfbf8edeaf572fc8bdc7cbd9cfe7ab60ce99d0faa73b1cab1e922964ed5cbb1342855ff40e8479652c8919d0ebef264ceabff42b84|94|1.5
873|F3|0x945551fb3ffd4a37af47d74b4d8d208309b1f260eb08c11a5e08f1e6a0f72f2ab06ad9538fc32ddbfbd6a4832c81efa8084758bd06918a18ccb5d40b03d25001f29e8417cf6dfb09622cbaa87e7e03ee82f52cc922265|306|4.5
875|F3|0x181ceb94824a681a914af75c57ca210c82561179bd8e6826f4476c247e2801c52af7c528442f2c09e978c6a7f5b5bf7e85440640e10c50202c5f0e878c3618fb0e9c0d5a9ee419b7d4c005c0dbb811192fb1895bc1f0d2|325|5.3
877|F3|0x67e5c4e11f386c72df82c10562860c969711a3792102c0318940243ec102fe10e971d2ff5e886fffd3d1c1a42df0de52f19b85aef14e2574225d147f452d6ab8199344e8233b918c6bd42cbdc46df146cb4082967188db|1029|18.0
879|F3|0x6aee11cb74cd15df683d64e3b6a44af2aaab653afee708d1fb33a11bc96c34edc42133d20a5d869d927edb4e89fba585383ef056542840ccae74117a9ce23e848edae5ed68cbc9660738283d03253b35f53690df30b75|54|2.3
881|F3|0x15d86c3a2daebd4f68fcb1b1c157eb9e58399c219a91ad87544d9f9f74bf6971ffbd68c9c6c118099286a0da51e62834b8265cc87598d388fc13472ec1bb37963002a5d232f2212f4474a59333291a03e110a0c67748195|297|4.0
883|F3|0x3693e0c5e1fd8544bd447299110e4d214f05ab0ea64af1ec8f64cf5ea310233a25ec50517edb63767d40a10599b8590e8ae03f8baa975db36e238e3cecfd7091a3dd524fd43da77c6d8720d427c542d183bf7e0c9fbaa7e|3809|63.1
885|F3|0x358246a9ccaf0b71cd653f9495822d81b5ca0da6abbc5ddf8e9cf646e1fe2d9ac567843e6395e9ba85e393bae3a2a993a5776bb6b29d8110a5c1cad4fa9b91b5d238d9fdf08a82a4df57af987a24a50e250c60cc864f39e3|406|4.9
887|F3|0xd23d2d55cc814f255855cd0961828db11cc85ec9be8802709ca774b102ae26b156b00e6059e2038b4b7b82af3addcbbeb562141eaef60e52b863472e78b4e8d985b0ac25ee32f834cd15509e31c8c79167e52c18c41906b8|459|12.5
889|F3|0x5a0263ef3662eccd43f3389db553506ce3def60f59f868788cc3cd38749d547bc7a6b58b33f8b327e958726525ef6ed08d61135601565048dfeb58c1d4da47618b2ca170d2e6fcb1334f818874f93d2f9352a1782ba77c2f|709|8.4
