# degree	tail_exponents (f = x^n + sum x^e + 1, all e <= floor(n/2))	sha256(artifact)	check
# produced 2026-08-22 by axeyum-gf2-search (branch agent/gf2/lemire-proof at 47fd7b440, snapshot with max_word_ops/max_coefficient_ops raised 1000x) and verified by axeyum-gf2-check primary+independent; artifacts in /data0/axeyum/scratch/lemire-signed-trace-witnesses-401-3000
401	152	38742aa23dbedb16d842b70350d782f273418667dcea6ac3fd41ca238be3b407	PASS
402	171	778a23915c77a1be3a510d23ffb6c6b01a7b474e5f7c05d2bc73711fdd7ebb11	PASS
403	1,2,80	bd29f257865dd2e929e14c1818fabf77b8d8ec9123753204e0fde893ef952845	PASS
404	65	4d74c12d3d93e27f3a04db8d5c390d345319b5fc27b3912451d61e29e7c0c73e	PASS
405	1,2,38	30b7a1db5182fbf1a5469eacfd634ae4b45f9467c30c3d2a54bd6524a22ddf55	PASS
406	141	78f2d7155c9f6bdd09a8236b0f35c0c1866cf9915fb3921098753a7e1ad6bf94	PASS
407	71	f542c5d3b1d8452760ec843e3c60542be1a33d04d0a3bf2415930036469e30e5	PASS
408	1,3,108	1968e405a849fe1a1f1b9e5c53df59c9ed2fed70227c09bbc3494d87b41cf38c	PASS
409	87	c153383107f9a7c1bc305f9f2ebe902df10e40884c58136c8df320018ea20399	PASS
410	1,2,16	c453592a6499d6872b2f238ace0ac3eafdc088550cb819bb76fdeb0e594a9880	PASS
411	1,2,50	41733c4634cd68b20cc8724455ca0f6063d73468c0fe506af2ad5ad86cd61f10	PASS
412	147	03899d92c9d487890ebce97a11804fc4e73f93159ad5b097eb3a9fb24c966798	PASS
413	1,2,33	8f9c4befb4f03d7d40ca5b5c8a1e20c198fe033d9d7836e270903df78e7ada76	PASS
414	13	be46036ca771467bf395e11b4141374095e6a18cf1741d1842b1fefa73e622ab	PASS
415	102	ee5df226e99879fe68096c0bd314a48b26de60013fcea47c65cbc4a3f526b95d	PASS
416	1,3,76	57955fd6e97194029313e43576a0a33a64b5d46b15abaab59602f365ea64e922	PASS
417	107	026b31cea68ceb3d1a5060e3af84525c28626e2dfb5f33a6c72480cd844c5714	PASS
418	199	5235df580377612f8934506d015b93d677690e773e585f233080c737c0d007d1	PASS
419	1,2,129	4054cb1c6875128f647ca5f85f133409210ff018a17e183a42e5ed0ce16b2b29	PASS
420	7	ddd9d0e98d968c17a8eb408541b3c7df4f65d00b6aceef3e69d5b4e23111323a	PASS
421	1,2,81	4e52ed1066a955bab819f5cc91886e59942f84c91ee83a1cc970c56ccfe0bee8	PASS
422	149	8a3415fc47e16f89693a570afd4e01dfb20cf3ba0e6aeb7d2cd3138f70b47350	PASS
423	25	39c1d3fa8f59633a3fdb66457775a0c269ef54d3720ac5b19dfa3912378dca80	PASS
424	1,2,177	a79f546a0398de60bd593cdf83cf140147412d9433afedddbfa38eba726b70c0	PASS
425	12	fb34ac28b49303be9f78bbf8e187ebfc25a56627270e37d2fefb14459383105d	PASS
426	63	16216c4f388249097fbda54a25047067c3e4d16126dcd9dfb060638a439ba8c1	PASS
427	1,4,111	3e6c6339a5778c826d97ae1d05586ef3126bee0b1185037e746e6608ff5f0b3c	PASS
428	105	8b3e391677e85f68dfa0a6994250b6f13a4317205996bf8606e0058331d23688	PASS
429	1,2,14	fe866f2235edf52f55218e0fdee0aef58977eeb6bb3f025a9d65993395202874	PASS
430	1,3,158	68e73860223cfdcb4b7a8d61c0be948d57247130f3393fd8b96af94c1bbb8ee4	PASS
431	120	46b3f9a3beaad9b3be51ca259daf9e88a3530fad1485d0f3e23c68263acf7cc0	PASS
432	1,2,103	94be4de4ce80a2b11775158f0583c02ae45c1e64d4b9afa130761a9408810450	PASS
433	33	8159e0559aa47fa83649d96fc47e7b38c6c534ea36790992415f8086a8f9551b	PASS
434	1,2,64	f729d8f85a2acfe26495e26e66142547e5d3cf2186a4d828ec72b23f5cd584ff	PASS
435	1,2,166	0b5f7f696be5064e42ef776a1c859a7cb5e5bbf83cd023319100cb73f4914567	PASS
436	165	0ef2a436e5cdfb358fa73d0a1f0e37aba8c46284ffc0afad753c2054b704f4bb	PASS
437	1,2,6	43b8cc3005d87049845df90c31c0475d8e3c6a4b8acf19115609a5907412869e	PASS
438	65	0fe66bfece91870b75936c5f42bdc83f39c884afb0f1a3237f34978c097b6d77	PASS
439	49	eec37b692a43bc502f6c8b6483ffc9dd08c75b72a1962805d07eadf9f86aeb27	PASS
440	1,2,37	a9a813f7383ade45c5e1c1cdd3483f70fcab1e880e5f1fc2109d6854ef4cf0ec	PASS
441	7	dfc0e75dcc98951d5f153575a4a4aca4b218847f4bba5fa3ef57a2d597eee1a2	PASS
442	1,2,32	824e708be828d1a07a259bbbcafde4da2f64b3929e6d5645fc180d596ce58195	PASS
443	1,2,57	018962a1f83ee7173e5c9dba4c3ea1dd17445e46d9be564b7001b10a17904e0d	PASS
444	81	fbf54afca819bffeed84f0ac7e24364b06cc6af998207890adcf38a19f33b7c5	PASS
445	1,3,192	f7d464551a156aa0585d699c19af7a60f0b85ef95721ff1fb37d53c339d27ad1	PASS
446	105	3f2d34b9265d1e4bc375bbd4fe35e686616ab8569ffbe12ac3c69c663e595732	PASS
447	73	227afaa274d591e9dc0b0687949f54260501f1d91f20ceb170dd55ebe22102bf	PASS
448	1,3,83	a13662929827ec31ad2dd72282ea4ac4dde827a9346b29cad8f390252f1d465e	PASS
449	134	4dce68a4d4c8f544b0ee651fa0154452e684f9674cdbe3544840d8e7b1b99f06	PASS
450	47	d4d0faac24a83d0137d8bef51934c53778fd3d20e61f6d16235479f9ab82f7de	PASS
451	1,2,33	c72322b61a2c2fe9ff5840f69019b49d7ec724b04e8ecd15169940e66d853093	PASS
452	1,2,10	8bd53a7e3aa95aef804a65cf8877253c1b67b31fe1e641e7df7bc1503a9f0efd	PASS
453	1,2,88	2c07aa01fa14c8bd7793eea3ec19ef01ae9bcf9c04419d343d1be584f539ef66	PASS
454	1,2,195	8906b20d518d99d499027b5ee177cfb0005ce278716b4769d2311e91b7b00288	PASS
455	38	9a5dd41984fafabdea019eff5fe1f481eba1e3910963046bca1fce8889974ff3	PASS
456	1,3,87	0093ab9e9c44cb79e4bdc64b7c6f699d206db169c9e9a07286f9250fc40dd1e1	PASS
457	16	aefc6103e311b402c4da34f359eacb424194605a71d849108940e9baca677c87	PASS
458	203	9a3d7648a2fd2bbb5b745de1138380e9bf68bd18d918c10e31c8aeadb05525a6	PASS
