### n=5 r=1 jstart=1
META|n=5|r=1|q=2|jstart=1|window=16
N|0|32
N|1|16
N|2|6
N|3|1
N|4|1
N|5|1
A|2|-8
A|3|-16
A|4|8
A|5|16
A|1|0
### n=5 r=2 jstart=1
META|n=5|r=2|q=4|jstart=1|window=256
N|0|1024
N|1|256
N|2|76
N|3|31
N|4|1
N|5|1
A|2|192
A|3|768
A|4|-1728
A|5|768
A|1|0
### n=5 r=3 jstart=1
META|n=5|r=3|q=8|jstart=1|window=4096
N|0|32768
N|1|4096
N|2|456
N|3|1
N|4|1
N|5|1
A|2|-3584
A|3|-28672
A|4|3584
A|5|28672
A|1|0
### n=5 r=4 jstart=1
META|n=5|r=4|q=16|jstart=1|window=65536
N|0|1048576
N|1|65536
N|2|4336
N|3|511
N|4|61
N|5|1
A|2|61440
A|3|983040
A|4|1904640
A|5|-2949120
A|1|0
### n=5 r=5 jstart=1
META|n=5|r=5|q=32|jstart=1|window=1048576
N|0|33554432
N|1|1048576
N|2|31776
N|3|1
N|4|1
N|5|1
A|2|-1015808
A|3|-32505856
A|4|1015808
A|5|32505856
A|1|0
### n=5 r=6 jstart=1
META|n=5|r=6|q=64|jstart=1|window=16777216
N|0|1073741824
N|1|16777216
N|2|266176
N|3|8191
N|4|1
N|5|1
A|2|16515072
A|3|1056964608
A|4|-2130444288
A|5|1056964608
A|1|0
### n=5 r=7 jstart=1
META|n=5|r=7|q=128|jstart=1|window=268435456
N|0|34359738368
N|1|268435456
N|2|2080896
N|3|1
N|4|1
N|5|1
A|2|-266338304
A|3|-34091302912
A|4|266338304
A|5|34091302912
A|1|0
### n=6 r=1 jstart=1
META|n=6|r=1|q=2|jstart=1|window=32
N|0|64
N|1|32
N|2|16
N|3|10
N|4|7
N|5|1
N|6|1
A|2|0
A|3|16
A|4|32
A|5|-80
A|6|32
A|1|0
### n=6 r=2 jstart=1
META|n=6|r=2|q=4|jstart=1|window=1024
N|0|4096
N|1|1024
N|2|256
N|3|52
N|4|7
N|5|7
N|6|1
A|2|0
A|3|-768
A|4|-1536
A|5|5376
A|6|-3072
A|1|0
### n=6 r=3 jstart=1
META|n=6|r=3|q=8|jstart=1|window=32768
N|0|262144
N|1|32768
N|2|4096
N|3|568
N|4|127
N|5|1
N|6|1
A|2|0
A|3|28672
A|4|229376
A|5|-487424
A|6|229376
A|1|0
### n=6 r=4 jstart=1
META|n=6|r=4|q=16|jstart=1|window=1048576
N|0|16777216
N|1|1048576
N|2|65536
N|3|3856
N|4|31
N|5|31
N|6|1
A|2|0
A|3|-983040
A|4|-13762560
A|5|30474240
A|6|-15728640
A|1|0
### n=6 r=5 jstart=1
META|n=6|r=5|q=32|jstart=1|window=33554432
N|0|1073741824
N|1|33554432
N|2|1048576
N|3|33760
N|4|2047
N|5|1
N|6|1
A|2|0
A|3|32505856
A|4|1040187392
A|5|-2112880640
A|6|1040187392
A|1|0
### n=7 r=1 jstart=1
META|n=7|r=1|q=2|jstart=1|window=64
N|0|128
N|1|64
N|2|36
N|3|22
N|4|8
N|5|8
N|6|1
N|7|1
A|2|16
A|3|32
A|4|-48
A|5|128
A|6|-192
A|7|64
A|1|0
### n=7 r=2 jstart=1
META|n=7|r=2|q=4|jstart=1|window=4096
N|0|16384
N|1|4096
N|2|1072
N|3|316
N|4|64
N|5|22
N|6|1
N|7|1
A|2|768
A|3|3072
A|4|-3840
A|5|6144
A|6|-18432
A|7|12288
A|1|0
### n=7 r=3 jstart=1
META|n=7|r=3|q=8|jstart=1|window=262144
N|0|2097152
N|1|262144
N|2|33216
N|3|4600
N|4|680
N|5|92
N|6|43
N|7|1
A|2|28672
A|3|229376
A|4|430080
A|5|229376
A|6|8257536
A|7|-9175040
A|1|0
### n=7 r=4 jstart=1
META|n=7|r=4|q=16|jstart=1|window=16777216
N|0|268435456
N|1|16777216
N|2|1052416
N|3|69616
N|4|4096
N|5|526
N|6|1
N|7|1
A|2|983040
A|3|15728640
A|4|-16711680
A|5|283115520
A|6|-534773760
A|7|251658240
A|1|0
### n=8 r=1 jstart=1
META|n=8|r=1|q=2|jstart=1|window=128
N|0|256
N|1|128
N|2|56
N|3|24
N|4|6
N|5|6
N|6|2
N|7|2
N|8|1
A|2|-32
A|3|-32
A|4|-96
A|5|96
A|6|-64
A|7|128
A|8|0
A|1|0
### n=8 r=2 jstart=1
META|n=8|r=2|q=4|jstart=1|window=16384
N|0|65536
N|1|16384
