# Minimal subdegree s_min(n) = min over monic irreducible f of degree n
# over F_2 of deg(f - x^n).  Kaser--Lemire asserts s_min(n) <= floor(n/2).
# Producer: an independent python-flint Rabin search (venv
# lemire-signed-trace-lemire-venv), candidates enumerated by INCREASING
# subdegree, so the value is the EXACT minimum, not an upper bound.
# Coverage: every n in 2..400, then 410..1000 step 10, 1100..3000 step 100
# (479 degrees).  The checker re-derives the prefix n <= 60 from scratch.
# n s_min(n) candidates_tested seconds
297 5 17 0.080
298 8 158 0.563
299 7 88 0.318
300 5 17 0.072
301 8 180 0.939
302 5 32 0.094
303 1 2 0.006
304 5 32 0.109
305 7 99 0.507
306 7 70 0.164
307 8 139 0.704
308 9 452 2.654
309 8 186 1.219
310 8 146 0.639
311 7 85 0.327
312 9 329 1.925
313 7 70 0.394
314 8 180 0.475
315 6 62 0.231
316 8 182 1.166
317 7 75 0.433
318 8 177 1.290
319 8 152 0.466
320 4 14 0.084
321 7 83 0.589
322 9 380 2.650
323 6 62 0.237
324 4 12 0.083
325 8 172 1.193
326 10 518 3.782
327 7 119 0.483
328 8 134 0.764
329 8 159 0.989
330 6 56 0.342
331 7 123 0.785
332 6 36 0.176
333 2 3 0.015
334 5 20 0.102
335 9 410 3.118
336 7 74 0.467
337 7 116 0.596
338 4 14 0.052
339 7 88 0.542
340 9 358 2.491
341 8 144 0.855
342 8 175 1.386
343 9 494 4.684
344 7 68 0.445
345 8 139 0.808
346 7 116 0.803
347 7 123 0.702
348 8 201 1.251
349 6 51 0.292
350 6 51 0.318
351 8 165 1.026
352 7 95 0.548
353 9 329 2.638
354 9 406 3.951
355 6 50 0.310
356 7 116 0.694
357 8 249 2.497
358 8 182 1.041
359 8 180 1.115
360 5 23 0.047
361 7 74 0.386
362 8 206 1.244
363 8 149 1.304
364 9 257 2.053
365 9 305 2.507
366 8 177 1.281
367 7 94 0.557
368 7 71 0.611
369 10 758 5.379
370 5 23 0.111
371 8 135 1.012
372 8 183 1.374
373 8 195 1.436
374 8 177 1.437
375 4 12 0.081
376 8 209 1.092
377 8 134 0.921
378 9 297 2.559
379 9 406 3.785
380 10 690 7.941
381 5 20 0.104
382 9 274 2.110
383 9 274 1.767
384 8 240 1.858
385 6 33 0.192
386 9 459 4.601
387 8 194 1.373
388 7 77 0.363
389 7 104 0.477
390 8 158 0.835
391 6 36 0.108
392 8 206 1.803
393 7 65 0.376
394 8 195 1.462
395 8 252 2.333
396 6 63 0.257
397 8 242 2.263
398 7 99 0.633
399 9 300 3.441
400 5 23 0.159
410 10 525 4.064
420 7 65 0.333
430 8 159 1.326
440 4 14 0.100
450 8 235 3.156
460 9 274 3.992
470 8 159 2.217
480 7 111 1.020
490 9 337 4.600
500 8 180 2.436
510 6 42 0.578
520 10 951 22.014
530 10 581 10.565
540 9 257 6.895
550 8 207 4.825
560 7 123 2.480
570 7 116 1.741
580 6 42 1.005
590 8 174 4.657
600 7 123 2.099
610 9 296 8.230
620 7 113 1.378
630 7 75 2.029
640 10 782 22.508
650 3 5 0.154
660 10 657 22.581
670 6 50 0.642
680 9 485 15.580
690 9 315 9.780
700 6 51 1.232
710 8 228 7.815
720 9 297 10.296
730 11 1705 82.888
740 4 12 0.356
750 9 509 21.018
760 10 824 34.835
770 11 1803 121.305
780 8 240 9.164
790 7 95 1.529
800 9 322 15.727
810 6 56 1.610
820 7 119 4.779
830 8 228 8.979
840 9 502 28.180
850 11 1688 119.660
860 6 42 2.133
870 7 75 3.827
880 11 1351 106.554
890 10 525 33.860
900 1 2 0.094
910 11 1481 109.038
920 11 1130 80.084
930 4 14 0.770
940 10 578 54.485
950 8 214 17.133
960 8 221 16.002
970 9 458 32.299
980 8 225 15.530
990 10 912 76.649
1000 5 29 1.406
