# The observed margin.  s_min(n) = minimal subdegree of an
# irreducible of degree n over F_2; the conjecture asks only for
# s_min(n) <= floor(n/2).  Produced by an independent python-flint
# Rabin search (data/aad-min-subdegree.txt); here the margin.
#      n  s_min  floor(n/2)  margin  s_min/log2(n)
    1500      9         750     741         0.853
    1600     11         800     789         1.033
    1700     10         850     840         0.932
    1800     10         900     890         0.925
    1900      6         950     944         0.551
    2000     13        1000     987         1.186
    2100     10        1050    1040         0.906
    2200     11        1100    1089         0.991
    2300     11        1150    1139         0.985
    2400     11        1200    1189         0.980
    2500     11        1250    1239         0.975
    2600      9        1300    1291         0.793
    2700      3        1350    1347         0.263
    2800      9        1400    1391         0.786
    2900     11        1450    1439         0.956
    3000     11        1500    1489         0.952
# worst n for s_min - 2 log2 n: n=2 s_min=1
# max s_min/floor(n/2) over n >= 8: 1.0000
