# The observed margin.  s_min(n) = minimal subdegree of an
# irreducible of degree n over F_2; the conjecture asks only for
# s_min(n) <= floor(n/2).  Produced by an independent python-flint
# Rabin search (data/aad-min-subdegree.txt); here the margin.
#      n  s_min  floor(n/2)  margin  s_min/log2(n)
       2      1           1       0         1.000
       3      1           1       0         0.631
       4      1           2       1         0.500
       5      2           2       0         0.861
       6      1           3       2         0.387
       7      1           3       2         0.356
       8      4           4       0         1.333
       9      1           4       3         0.315
      10      3           5       2         0.903
      11      2           5       3         0.578
      12      3           6       3         0.837
      13      4           6       2         1.081
      14      5           7       2         1.313
      15      1           7       6         0.256
      16      5           8       3         1.250
      17      3           8       5         0.734
      18      3           9       6         0.719
      19      5           9       4         1.177
      20      3          10       7         0.694
      21      2          10       8         0.455
      22      1          11      10         0.224
      23      5          11       6         1.105
      24      4          12       8         0.872
      25      3          12       9         0.646
      26      4          13       9         0.851
      27      5          13       8         1.052
      28      1          14      13         0.208
      29      2          14      12         0.412
      30      1          15      14         0.204
      31      3          15      12         0.606
      32      7          16       9         1.400
      33      6          16      10         1.189
      34      4          17      13         0.786
      35      2          17      15         0.390
      36      5          18      13         0.967
      37      5          18      13         0.960
      38      6          19      13         1.143
      39      4          19      15         0.757
      40      5          20      15         0.940
      41      3          20      17         0.560
      42      5          21      16         0.927
      43      6          21      15         1.106
      44      5          22      17         0.916
      45      4          22      18         0.728
      46      1          23      22         0.181
      47      5          23      18         0.900
      48      5          24      19         0.895
      49      6          24      18         1.069
      50      4          25      21         0.709
      51      6          25      19         1.058
      52      3          26      23         0.526
      53      6          26      20         1.048
      54      6          27      21         1.043
      55      6          27      21         1.038
      56      7          28      21         1.205
      57      4          28      24         0.686
      58      6          29      23         1.024
      59      6          29      23         1.020
      60      1          30      29         0.169
      61      5          30      25         0.843
      62      6          31      25         1.008
      63      1          31      30         0.167
      64      4          32      28         0.667
      65      4          32      28         0.664
      66      3          33      30         0.496
      67      5          33      28         0.824
      68      7          34      27         1.150
      69      6          34      28         0.982
      70      5          35      30         0.816
      71      5          35      30         0.813
      72      6          36      30         0.972
      73      4          36      32         0.646
      74      6          37      31         0.966
      75      6          37      31         0.963
      76      5          38      33         0.800
      77      6          38      32         0.957
      78      6          39      33         0.955
      79      4          39      35         0.635
      80      7          40      33         1.107
      81      4          40      36         0.631
      82      7          41      34         1.101
      83      7          41      34         1.098
      84      5          42      37         0.782
      85      8          42      34         1.248
      86      6          43      37         0.934
      87      7          43      36         1.086
      88      5          44      39         0.774
      89      6          44      38         0.927
      90      5          45      40         0.770
      91      7          45      38         1.076
      92      6          46      40         0.920
      93      2          46      44         0.306
      94      6          47      41         0.915
      95      6          47      41         0.913
      96      6          48      42         0.911
      97      6          48      42         0.909
      98      7          49      42         1.058
      99      6          49      43         0.905
     100      6          50      44         0.903
     101      7          50      43         1.051
     102      6          51      45         0.899
     103      7          51      44         1.047
     104      4          52      48         0.597
     105      4          52      48         0.596
     106      6          53      47         0.892
     107      7          53      46         1.038
     108      6          54      48         0.888
     109      5          54      49         0.739
     110      6          55      49         0.885
     111      7          55      48         1.030
     112      5          56      51         0.734
     113      5          56      51         0.733
     114      5          57      52         0.732
     115      7          57      50         1.023
     116      4          58      54         0.583
     117      5          58      53         0.728
     118      6          59      53         0.872
     119      8          59      51         1.160
     120      4          60      56         0.579
     121      8          60      52         1.156
     122      6          61      55         0.866
     123      2          61      59         0.288
     124      6          62      56         0.863
     125      7          62      55         1.005
     126      7          63      56         1.003
     127      1          63      62         0.143
     128      7          64      57         1.000
     129      5          64      59         0.713
     130      3          65      62         0.427
     131      7          65      58         0.995
     132      6          66      60         0.852
     133      6          66      60         0.850
     134      7          67      60         0.991
     135      6          67      61         0.848
     136      5          68      63         0.705
     137      8          68      60         1.127
     138      8          69      61         1.125
     139      7          69      62         0.983
     140      6          70      64         0.842
     141      8          70      62         1.121
     142      7          71      64         0.979
     143      5          71      66         0.698
     144      7          72      65         0.976
     145      6          72      66         0.836
     146      5          73      68         0.695
     147      5          73      68         0.694
     148      7          74      67         0.971
     149      9          74      65         1.247
     150      5          75      70         0.692
     151      3          75      72         0.414
     152      6          76      70         0.828
     153      1          76      75         0.138
     154      7          77      70         0.963
     155      7          77      70         0.962
     156      6          78      72         0.824
     157      6          78      72         0.823
     158      8          79      71         1.095
     159      6          79      73         0.820
     160      5          80      75         0.683
     161      6          80      74         0.818
     162      7          81      74         0.954
     163      7          81      74         0.953
     164      8          82      74         1.087
     165      9          82      73         1.222
     166      6          83      77         0.814
     167      6          83      77         0.813
     168      6          84      78         0.812
     169      8          84      76         1.081
     170      6          85      79         0.810
     171      5          85      80         0.674
     172      1          86      85         0.135
     173      8          86      78         1.076
     174      6          87      81         0.806
     175      6          87      81         0.805
     176      7          88      81         0.938
     177      5          88      83         0.670
     178      8          89      81         1.070
     179      4          89      85         0.534
     180      3          90      87         0.400
     181      7          90      83         0.933
     182      7          91      84         0.932
     183      8          91      83         1.064
     184      8          92      84         1.063
     185      8          92      84         1.062
     186      8          93      85         1.061
     187      7          93      86         0.928
     188      6          94      88         0.794
     189      6          94      88         0.793
     190      8          95      87         1.057
     191      7          95      88         0.924
     192      7          96      89         0.923
     193      8          96      88         1.054
     194      4          97      93         0.526
     195      7          97      90         0.920
     196      3          98      95         0.394
     197      8          98      90         1.050
     198      6          99      93         0.786
     199      7          99      92         0.917
     200      5         100      95         0.654
     201      6         100      94         0.784
     202      7         101      94         0.914
     203      8         101      93         1.044
     204      5         102      97         0.652
     205      9         102      93         1.172
     206      7         103      96         0.911
     207      9         103      94         1.170
     208      8         104      96         1.039
     209      5         104      99         0.649
     210      7         105      98         0.907
     211      9         105      96         1.166
     212      7         106      99         0.906
     213      6         106     100         0.776
     214      5         107     102         0.646
     215      6         107     101         0.774
     216      7         108     101         0.903
     217      6         108     102         0.773
     218      7         109     102         0.901
     219      7         109     102         0.900
     220      7         110     103         0.900
     221      8         110     102         1.027
     222      5         111     106         0.641
     223      5         111     106         0.641
     224      8         112     104         1.025
     225      8         112     104         1.024
     226      7         113     106         0.895
     227      6         113     107         0.767
     228      8         114     106         1.021
     229      9         114     105         1.148
     230      7         115     108         0.892
     231      7         115     108         0.892
     232      7         116     109         0.891
     233      7         116     109         0.890
     234      8         117     109         1.016
     235      8         117     109         1.016
     236      5         118     113         0.634
     237      7         118     111         0.887
     238      5         119     114         0.633
     239      5         119     114         0.633
     240      8         120     112         1.012
     241      8         120     112         1.011
     242      8         121     113         1.010
     243      8         121     113         1.009
     244      8         122     114         1.009
     245      6         122     116         0.756
     246      8         123     115         1.007
     247      9         123     114         1.132
     248      8         124     116         1.006
     249      7         124     117         0.879
     250      6         125     119         0.753
     251      7         125     118         0.878
     252      6         126     120         0.752
     253      5         126     121         0.626
     254      7         127     120         0.876
     255      5         127     122         0.625
     256     10         128     118         1.250
     257      7         128     121         0.874
     258      9         129     120         1.123
     259      8         129     121         0.998
     260      6         130     124         0.748
     261      7         130     123         0.872
     262      9         131     122         1.120
     263      9         131     122         1.120
     264      9         132     123         1.119
     265      5         132     127         0.621
     266      6         133     127         0.745
     267      8         133     125         0.992
     268      9         134     125         1.116
     269      7         134     127         0.867
     270      5         135     130         0.619
     271      8         135     127         0.990
     272      8         136     128         0.989
     273      7         136     129         0.865
     274      7         137     130         0.864
     275      8         137     129         0.987
     276      6         138     132         0.740
     277      7         138     131         0.863
     278      5         139     134         0.616
     279      5         139     134         0.615
     280      9         140     131         1.107
     281      9         140     131         1.106
     282      6         141     135         0.737
     283      8         141     133         0.982
     284      8         142     134         0.982
     285      7         142     135         0.858
     286      8         143     135         0.980
     287      6         143     137         0.735
     288      8         144     136         0.979
     289      7         144     137         0.856
     290      5         145     140         0.611
     291      6         145     139         0.733
     292      7         146     139         0.855
     293      9         146     137         1.098
     294      7         147     140         0.854
     295      5         147     142         0.609
     296      7         148     141         0.853
     297      5         148     143         0.609
     298      8         149     141         0.973
     299      7         149     142         0.851
     300      5         150     145         0.608
     301      8         150     142         0.972
     302      5         151     146         0.607
     303      1         151     150         0.121
     304      5         152     147         0.606
     305      7         152     145         0.848
     306      7         153     146         0.848
     307      8         153     145         0.968
     308      9         154     145         1.089
     309      8         154     146         0.967
     310      8         155     147         0.967
     311      7         155     148         0.845
     312      9         156     147         1.086
     313      7         156     149         0.844
     314      8         157     149         0.964
     315      6         157     151         0.723
     316      8         158     150         0.963
     317      7         158     151         0.843
     318      8         159     151         0.962
     319      8         159     151         0.962
     320      4         160     156         0.481
     321      7         160     153         0.841
     322      9         161     152         1.080
     323      6         161     155         0.720
     324      4         162     158         0.480
     325      8         162     154         0.959
     326     10         163     153         1.198
     327      7         163     156         0.838
     328      8         164     156         0.957
     329      8         164     156         0.957
     330      6         165     159         0.717
     331      7         165     158         0.836
     332      6         166     160         0.716
     333      2         166     164         0.239
     334      5         167     162         0.596
     335      9         167     158         1.073
     336      7         168     161         0.834
     337      7         168     161         0.834
     338      4         169     165         0.476
     339      7         169     162         0.833
     340      9         170     161         1.070
     341      8         170     162         0.951
     342      8         171     163         0.950
     343      9         171     162         1.069
     344      7         172     165         0.831
     345      8         172     164         0.949
     346      7         173     166         0.830
     347      7         173     166         0.830
     348      8         174     166         0.948
     349      6         174     168         0.710
     350      6         175     169         0.710
     351      8         175     167         0.946
     352      7         176     169         0.827
     353      9         176     167         1.063
     354      9         177     168         1.063
     355      6         177     171         0.708
     356      7         178     171         0.826
     357      8         178     170         0.943
     358      8         179     171         0.943
     359      8         179     171         0.943
     360      5         180     175         0.589
     361      7         180     173         0.824
     362      8         181     173         0.941
     363      8         181     173         0.941
     364      9         182     173         1.058
     365      9         182     173         1.057
     366      8         183     175         0.939
     367      7         183     176         0.822
     368      7         184     177         0.821
     369     10         184     174         1.173
     370      5         185     180         0.586
     371      8         185     177         0.937
     372      8         186     178         0.937
     373      8         186     178         0.936
     374      8         187     179         0.936
     375      4         187     183         0.468
     376      8         188     180         0.935
     377      8         188     180         0.935
     378      9         189     180         1.051
     379      9         189     180         1.051
     380     10         190     180         1.167
     381      5         190     185         0.583
     382      9         191     182         1.049
     383      9         191     182         1.049
     384      8         192     184         0.932
     385      6         192     186         0.699
     386      9         193     184         1.047
     387      8         193     185         0.931
     388      7         194     187         0.814
     389      7         194     187         0.814
     390      8         195     187         0.929
     391      6         195     189         0.697
     392      8         196     188         0.929
     393      7         196     189         0.812
     394      8         197     189         0.928
     395      8         197     189         0.927
     396      6         198     192         0.695
     397      8         198     190         0.927
     398      7         199     192         0.811
     399      9         199     190         1.042
     400      5         200     195         0.578
     410     10         205     195         1.152
     420      7         210     203         0.803
     430      8         215     207         0.914
     440      4         220     216         0.456
     450      8         225     217         0.908
     460      9         230     221         1.017
     470      8         235     227         0.901
     480      7         240     233         0.786
     490      9         245     236         1.007
     500      8         250     242         0.892
     510      6         255     249         0.667
     520     10         260     250         1.108
     530     10         265     255         1.105
     540      9         270     261         0.992
     550      8         275     267         0.879
     560      7         280     273         0.767
     570      7         285     278         0.765
     580      6         290     284         0.654
     590      8         295     287         0.869
     600      7         300     293         0.758
     610      9         305     296         0.973
     620      7         310     303         0.755
     630      7         315     308         0.753
     640     10         320     310         1.073
     650      3         325     322         0.321
     660     10         330     320         1.068
     670      6         335     329         0.639
     680      9         340     331         0.956
     690      9         345     336         0.954
     700      6         350     344         0.635
     710      8         355     347         0.845
     720      9         360     351         0.948
     730     11         365     354         1.156
     740      4         370     366         0.420
     750      9         375     366         0.942
     760     10         380     370         1.045
     770     11         385     374         1.147
     780      8         390     382         0.833
     790      7         395     388         0.727
     800      9         400     391         0.933
     810      6         405     399         0.621
     820      7         410     403         0.723
     830      8         415     407         0.825
     840      9         420     411         0.926
     850     11         425     414         1.130
     860      6         430     424         0.615
     870      7         435     428         0.717
     880     11         440     429         1.125
     890     10         445     435         1.021
     900      1         450     449         0.102
     910     11         455     444         1.119
     920     11         460     449         1.117
     930      4         465     461         0.406
     940     10         470     460         1.013
     950      8         475     467         0.809
     960      8         480     472         0.808
     970      9         485     476         0.907
     980      8         490     482         0.805
     990     10         495     485         1.005
    1000      5         500     495         0.502
    1100      6         550     544         0.594
    1200     10         600     590         0.978
    1300     11         650     639         1.063
    1400      8         700     692         0.765
